geoid,ctlabel,ct2020,boroct2020,borocode,boroname,ntaname,nta2020,cdeligibil,cdta2020,cdtaname,shape_area,shape_leng,created_at,updated_at,row_id,centroid_lat,centroid_lon
36005041800,418,041800,2041800,2,Bronx,Wakefield-Woodlawn,BX1203,E,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),2930549.04743,7326.95048861,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-47ek.y6wr~x9v2,40.89698522076297,-73.85973104215778
36005029700,297,029700,2029700,2,Bronx,Riverdale-Spuyten Duyvil,BX0803,I,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),2505976.88152,8468.06317703,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-gvbx-zkbn~h89p,40.88553690643429,-73.91133131941649
36005033500,335,033500,2033500,2,Bronx,Riverdale-Spuyten Duyvil,BX0803,I,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),7482680.30964,14360.1268641,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-tn3j.nguj-23c5,40.89442021264328,-73.90479759608793
36005019300,193,019300,2019300,2,Bronx,Highbridge,BX0402,E,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),2587522.52254,9040.2288957,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-2hvh.5fkk~aqmg,40.83660623473114,-73.92901387724784
36081059501,595.01,059501,4059501,4,Queens,Ridgewood,QN0502,I,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),1774483.47583,6348.06497945,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-9ran-yuyq_be49,40.7117890008924,-73.9092678324828
36081060100,601,060100,4060100,4,Queens,Maspeth,QN0501,I,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),1661490.9943,6319.22932922,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-au8e_6yex_uyjx,40.715347696151774,-73.90116894445336
36081059300,593,059300,4059300,4,Queens,Ridgewood,QN0502,E,QN05,QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),2717952.02639,7161.15135417,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-wd9e_qwgn.v7cn,40.71046481301954,-73.90280732364445
36005036400,364,036400,2036400,2,Bronx,Eastchester-Edenwald-Baychester,BX1202,E,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),2192124.07399,6813.0644948,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-z456-8nc6.kavj,40.87282862485462,-73.8491155338233
36005036800,368,036800,2036800,2,Bronx,Williamsbridge-Olinville,BX1201,I,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),1820239.3953,6000.416212,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-y6m9~p55b_7jgc,40.87516492983864,-73.8559242201979
36081044400,444,044400,4044400,4,Queens,Jamaica,QN1201,I,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),9702220.801,20655.6749293,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-8bpt-cgeq_3n4d,40.705761923437,-73.78035732907395
36081046800,468,046800,4046800,4,Queens,Jamaica,QN1201,E,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),2471077.08163,6509.98916195,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-wuxr.hdkv~nqw6,40.7101179160098,-73.78237441032218
36061006200,62,006200,1006200,1,Manhattan,Murray Hill-Kips Bay,MN0603,I,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),3167924.6356,13027.6792549,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-q9pz_jtna~92cm,40.73624757191914,-73.97117213905634
36047056500,565,056500,3056500,3,Brooklyn,Greenpoint,BK0101,I,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),2557314.2229,6717.43900071,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-vdkk-69kw-3jmb,40.730136559855495,-73.95868121960534
36061014300,143,014300,1014300,1,Manhattan,Central Park,MN6491,I,MN64,MN64 Central Park (JIA 64 Equivalent),38312378.6391,32721.0975459,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-t937.w7vx_qe7e,40.78247932977916,-73.96593032760427
36061021600,216,021600,1021600,1,Manhattan,Harlem (South),MN1001,E,MN10,MN10 Harlem (CD 10 Equivalent),1864443.34968,5689.08051868,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-uzxf_29ry-bv63,40.80060422848638,-73.95380778657896
36005035600,356,035600,2035600,2,Bronx,Eastchester-Edenwald-Baychester,BX1202,I,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),4342980.0739,11247.0617246,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-bar7.2dki_5m9p,40.86744909523123,-73.83664757249157
36005036000,360,036000,2036000,2,Bronx,Pelham Gardens,BX1103,E,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),2857374.66537,7630.00053147,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-9zdb.gaj3.wrbn,40.86718012696417,-73.84235194228407
36005022403,224.03,022403,2022403,2,Bronx,Pelham Parkway-Van Nest,BX1101,E,BX11,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),1338120.84787,5656.25258213,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-2b3w.5kvr_268u,40.85704249838104,-73.86464713823132
36061015200,152,015200,1015200,1,Manhattan,Upper East Side-Yorkville,MN0803,I,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),1963680.58274,9520.89267453,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-v2px.7yw3_23ti,40.779640706996446,-73.94228100549041
36047022900,229,022900,3022900,3,Brooklyn,Bedford-Stuyvesant (West),BK0301,I,BK03,BK03 Bedford-Stuyvesant (CD 3 Approximation),1849568.42667,5440.76469824,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-6g26~sbby~fkxv,40.685006585133614,-73.95662627006998
