geoid,ctlabel,ct2020,boroct2020,borocode,boroname,ntaname_x,nta2020,cdeligibil,cdta2020,cdtaname,shape_area,shape_leng,created_at,updated_at,row_id,centroid_lat,centroid_lon,Year,ntaname_y,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Score,Weighted Score,Rank
36061003601,36.01,3601,1003601,1,Manhattan,Lower East Side,MN0302,E,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),1082296.16558,4201.29530909,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-eddj-bprh.hdn5,40.72253054033678,-73.9911176912672,2023.0,Lower East Side,"290,239.4793",18.46%,5.55%,0.13,5.29368531064,102.0
36061003602,36.02,3602,1003602,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),961070.500061,4076.25032584,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-qahw~nbz2.mjgc,40.724202349518265,-73.99028768101647,2025.0,East Village,"1,537,743.68842889",20.68%,555.20%,0.36,6.8545335246,41.0
36061003602,36.02,3602,1003602,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),961070.500061,4076.25032584,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-qahw~nbz2.mjgc,40.724202349518265,-73.99028768101647,2024.0,East Village,"737,116.123057523",15.86%,5.34%,0.12,5.30790598861,114.0
36061003602,36.02,3602,1003602,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),961070.500061,4076.25032584,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-qahw~nbz2.mjgc,40.724202349518265,-73.99028768101647,2023.0,East Village,"842,491.8974",15.03%,5.53%,0.11,5.44616669879,91.0
36061004001,40.01,4001,1004001,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),995026.108423,4151.97661678,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-iahi.y9p7_n97f,40.73066259521985,-73.98448297477907,2025.0,East Village,"1,537,743.68842889",20.68%,555.20%,0.36,6.8545335246,41.0
36061004001,40.01,4001,1004001,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),995026.108423,4151.97661678,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-iahi.y9p7_n97f,40.73066259521985,-73.98448297477907,2024.0,East Village,"737,116.123057523",15.86%,5.34%,0.12,5.30790598861,114.0
36061004001,40.01,4001,1004001,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),995026.108423,4151.97661678,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-iahi.y9p7_n97f,40.73066259521985,-73.98448297477907,2023.0,East Village,"842,491.8974",15.03%,5.53%,0.11,5.44616669879,91.0
36061004002,40.02,4002,1004002,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),932610.986207,4046.98099391,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-j3cs-vw5n_5tki,40.73110496085993,-73.9871964422466,2025.0,East Village,"1,537,743.68842889",20.68%,555.20%,0.36,6.8545335246,41.0
36061004002,40.02,4002,1004002,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),932610.986207,4046.98099391,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-j3cs-vw5n_5tki,40.73110496085993,-73.9871964422466,2024.0,East Village,"737,116.123057523",15.86%,5.34%,0.12,5.30790598861,114.0
36061004002,40.02,4002,1004002,1,Manhattan,East Village,MN0303,I,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),932610.986207,4046.98099391,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-j3cs-vw5n_5tki,40.73110496085993,-73.9871964422466,2023.0,East Village,"842,491.8974",15.03%,5.53%,0.11,5.44616669879,91.0
36061004100,41.0,4100,1004100,1,Manhattan,SoHo-Little Italy-Hudson Square,MN0201,I,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),2058611.73916,5913.87051174,2025-08-21T13:56:10.254Z,2025-08-21T13:56:10.254Z,row-fw58~mtq4-kpic,40.719445684030525,-73.99617437428047,2025.0,SoHo-Little Italy-Hudson Square,"436,692.290999102",14.18%,370.48%,0.4,5.92605839953,118.0
