nta2020,geoid,Year,ntaname,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Score,Weighted Score,Rank,pantry_count
MN0203,36061006700,2025-01-01,West Village,"605,981.189659805",13.57%,741.45%,0.37,6.22559569875,85.0,3
MN0301,36061001600,2025-01-01,Chinatown-Two Bridges,"1,799,039.12939831",26.20%,1084.16%,0.6,7.9962386562,8.0,0
MN0302,36061001401,2025-01-01,Lower East Side,"740,167.495815",20.96%,647.31%,0.47,6.19497157586,90.0,5
MN0303,36061002602,2025-01-01,East Village,"1,537,743.68842889",20.68%,555.20%,0.36,6.8545335246,41.0,5
MN0401,36061008100,2025-01-01,Chelsea-Hudson Yards,"723,779.41204991",15.79%,560.22%,0.38,5.87294023284,124.0,3
MN0402,36061012101,2025-01-01,Hell's Kitchen,"1,230,494.1809353",17.02%,537.01%,0.41,6.53051108458,60.0,4
MN0501,36061005400,2025-01-01,Midtown South-Flatiron-Union Square,"354,582.409155647",14.70%,600.83%,0.35,5.75952211194,130.0,3
MN0502,36061008200,2025-01-01,Midtown-Times Square,"144,714.999478159",15.79%,516.70%,0.48,5.46252733014,149.0,0
MN0601,36061006000,2025-01-01,Stuyvesant Town-Peter Cooper Village,"490,267.23296912",14.67%,420.81%,0.47,6.04240323304,101.0,0
MN0602,36061006800,2025-01-01,Gramercy,"507,842.027125365",12.41%,303.30%,0.35,5.9568313992,112.0,0
MN0603,36061007001,2025-01-01,Murray Hill-Kips Bay,"1,043,268.45251766",12.13%,320.32%,0.4,6.23798572293,83.0,0
MN0604,36061009200,2025-01-01,East Midtown-Turtle Bay,"1,000,801.33361314",12.74%,592.32%,0.51,6.52060697162,61.0,3
MN0701,36061014900,2025-01-01,Upper West Side-Lincoln Square,"1,606,997.59775469",14.05%,613.09%,0.5,7.11106616983,32.0,1
MN0702,36061016100,2025-01-01,Upper West Side (Central),"1,012,558.71411999",12.67%,390.22%,0.51,5.95647683778,113.0,4
MN0703,36061018700,2025-01-01,Upper West Side-Manhattan Valley,"1,413,774.98920573",17.95%,749.39%,0.5,7.20725444368,26.0,2
MN0801,36061011800,2025-01-01,Upper East Side-Lenox Hill-Roosevelt Island,"1,488,620.7768",13.22%,409.58%,0.53,6.73965047747,49.0,1
MN0802,36061011402,2025-01-01,Upper East Side-Carnegie Hill,"-267,239.2548257",9.99%,454.49%,0.57,4.77142011998,173.0,3
MN0803,36061013601,2025-01-01,Upper East Side-Yorkville,"1,066,124.73854754",13.12%,476.41%,0.46,6.20816130946,88.0,2
MN0901,36061019900,2025-01-01,Morningside Heights,"183,281.64306546",20.97%,937.58%,0.47,5.9304253106,116.0,5
MN0902,36061021303,2025-01-01,Manhattanville-West Harlem,"829,256.969797046",26.32%,1299.85%,0.46,7.23102977905,25.0,3
MN0903,36061023100,2025-01-01,Hamilton Heights-Sugar Hill,"1,282,814.27284754",21.91%,990.22%,0.49,7.18438251253,28.0,4
MN1001,36061018600,2025-01-01,Harlem (South),"-605,451.42757938",17.86%,805.31%,0.41,4.70584743652,176.0,5
MN1002,36061020800,2025-01-01,Harlem (North),"1,832,379.14443154",24.06%,1238.09%,0.47,7.57499910728,15.0,11
MN1101,36061015802,2025-01-01,East Harlem (South),"1,724,240.69463585",25.33%,981.20%,0.48,7.48968101927,17.0,3
MN1102,36061018000,2025-01-01,East Harlem (North),"527,499.52610583",26.68%,1055.74%,0.47,5.90883983576,121.0,8
MN1201,36061024301,2025-01-01,Washington Heights (South),"2,673,103.36007119",26.78%,1417.65%,0.52,8.91946054013,1.0,3
MN1202,36061026500,2025-01-01,Washington Heights (North),"1,478,920.68303928",20.15%,1196.63%,0.51,7.47395389484,18.0,2
MN1203,36061029300,2025-01-01,Inwood,"-272,014.49954441",20.37%,826.18%,0.52,5.23350410541,158.0,4
QN0101,36081009500,2025-01-01,Astoria (North)-Ditmars-Steinway,"1,638,480.01862568",15.95%,744.76%,0.42,7.3454974684,22.0,0
QN0102,36081007700,2025-01-01,Old Astoria-Hallets Point,"285,730.857931088",19.98%,757.32%,0.49,5.94774867203,114.0,1
QN0103,36081005300,2025-01-01,Astoria (Central),"1,399,350.54925385",16.07%,647.96%,0.4,6.96580579427,38.0,0
QN0104,36081014300,2025-01-01,Astoria (East)-Woodside (North),"1,005,084.90302748",17.00%,805.49%,0.5,6.70947426815,52.0,2
QN0105,36081003100,2025-01-01,Queensbridge-Ravenswood-Dutch Kills,"-3,272,725.07376078",21.01%,847.32%,0.51,1.78837351738,197.0,4
QN0201,36081000702,2025-01-01,Long Island City-Hunters Point,"-16,549.040149168",12.92%,469.89%,0.47,5.44447032158,151.0,0
QN0202,36081016900,2025-01-01,Sunnyside,"-105,498.50887842",15.91%,644.19%,0.58,5.343861523,154.0,3
QN0203,36081025100,2025-01-01,Woodside,"-363,136.00671281",13.52%,457.26%,0.71,4.726180592,175.0,2
QN0301,36081027302,2025-01-01,Jackson Heights,"2,551,351.0225222",17.64%,885.63%,0.65,8.37089634861,4.0,3
QN0302,36081035300,2025-01-01,East Elmhurst,"-23,285.418190612",14.51%,596.99%,0.61,5.55546272087,143.0,4
QN0303,36081037700,2025-01-01,North Corona,"563,174.7457449",16.79%,436.78%,0.81,6.1044994324,94.0,5
QN0401,36081026700,2025-01-01,Elmhurst,"2,027,995.53292438",15.70%,540.26%,0.71,7.5117819559,16.0,5
QN0402,36081040101,2025-01-01,Corona,"2,024,764.96870776",19.83%,700.81%,0.75,7.90299060397,11.0,0
QN0501,36081049301,2025-01-01,Maspeth,"1,065,960.91762597",14.80%,667.53%,0.56,6.66557289568,53.0,0
QN0502,36081053902,2025-01-01,Ridgewood,"1,531,860.2259482",16.81%,708.66%,0.51,7.05062426682,35.0,4
QN0503,36081056500,2025-01-01,Glendale,"433,586.15995669",12.85%,508.05%,0.52,5.75529526452,131.0,1
QN0504,36081065702,2025-01-01,Middle Village,"-261,754.513595689",12.30%,424.94%,0.55,4.80325939682,171.0,1
QN0601,36081069300,2025-01-01,Rego Park,"787,641.811453798",15.73%,584.01%,0.6,6.2957188288,78.0,0
QN0602,36081070700,2025-01-01,Forest Hills,"1,029,708.81093998",13.17%,432.55%,0.55,6.08351365384,96.0,3
QN0701,36081092500,2025-01-01,College Point,"919,370.186085302",14.83%,943.97%,0.66,6.86671945513,40.0,0
QN0702,36081103300,2025-01-01,Whitestone-Beechhurst,"808,755.543930184",13.26%,871.11%,0.55,6.66190737136,54.0,0
QN0703,36081099704,2025-01-01,Bay Terrace-Clearview,"617,762.51874879",12.42%,531.71%,0.57,6.11844453105,92.0,0
QN0704,36081088903,2025-01-01,Murray Hill-Broadway Flushing,"1,582,986.12822155",15.71%,521.41%,0.67,7.11643627565,31.0,2
QN0705,36081084500,2025-01-01,East Flushing,"442,076.275743512",17.44%,709.29%,0.71,5.98743248767,110.0,1
QN0706,36081079900,2025-01-01,Queensboro Hill,"517,136.566352814",14.79%,540.08%,0.75,6.02044782221,105.0,0
QN0707,36081079701,2025-01-01,Flushing-Willets Point,"1,500,292.96137764",20.93%,775.10%,0.77,7.13226432034,29.0,1
QN0801,36081077902,2025-01-01,Kew Gardens Hills,"-175,960.45099861",13.90%,616.41%,0.53,5.06749655273,164.0,3
QN0802,36081122703,2025-01-01,Pomonok-Electchester-Hillcrest,"414,221.843428991",16.00%,752.94%,0.52,5.9201536232,119.0,0
QN0803,36081122300,2025-01-01,Fresh Meadows-Utopia,"515,718.061356106",12.04%,432.36%,0.57,5.90963328494,120.0,0
QN0804,36081046400,2025-01-01,Jamaica Estates-Holliswood,"481,473.217384359",13.52%,778.43%,0.58,6.40404761045,67.0,2
QN0805,36081021400,2025-01-01,Jamaica Hills-Briarwood,"294,414.83129535",16.87%,980.54%,0.57,6.21729449573,86.0,0
