pantry_id,original_demand,received_step1,unmet_before_step2,supplied_step2,remaining_unmet,distance_miles,transport_cost,purchase_cost,total_cost,population
418,571267.824560178,0.0,571267.824560178,571267.824560178,0.0,15.561078326076414,888954.3363148209,1588124.5522772947,2477078.8885921156,3418.0
337,502542.45151374,0.0,502542.45151374,502542.45151374,0.0,4.053399814939251,203700.54799649114,1397068.015208197,1600768.5632046883,2128.0
374,502542.45151374,0.0,502542.45151374,502542.45151374,0.0,4.27224495346216,214698.4452380078,1397068.015208197,1611766.4604462048,2606.0
207,477096.338827592,0.0,477096.338827592,477096.338827592,0.0,1.9538509279489717,93217.51243393477,1326327.8219407056,1419545.3343746404,1960.0
268,477096.338827592,0.0,477096.338827592,477096.338827592,0.0,1.9273062357949895,91951.07488973772,1326327.8219407056,1418278.8968304433,1960.0
434,451455.520860002,0.0,451455.520860002,451455.520860002,0.0,14.534253948813372,656156.9186773082,1255046.3479908055,1911203.2666681136,3195.0
226,451452.129284963,0.0,451452.129284963,451452.129284963,0.0,19.828320931430277,895153.7704639799,1255036.919412197,2150190.689876177,3031.0
366,442076.275743512,0.0,442076.275743512,442076.275743512,0.0,5.20378823942311,230047.13246420558,1228972.0465669632,1459019.1790311688,2747.0
26,433586.15995669,0.0,433586.15995669,433586.15995669,0.0,7.700671345238377,333890.4517670426,1205369.5246795982,1539259.9764466407,3797.0
514,405599.10658487596,0.0,405599.10658487596,405599.10658487596,0.0,4.870900594180499,197563.2929263352,1127565.5163059551,1325128.8092322904,3985.0
20,405599.10658487596,0.0,405599.10658487596,405599.10658487596,0.0,4.945381203706709,200584.21979450795,1127565.5163059551,1328149.736100463,2988.0
21,405599.10658487596,0.0,405599.10658487596,405599.10658487596,0.0,4.959247132566352,201146.62063025203,1127565.5163059551,1328712.136936207,4218.0
77,404312.54428548,0.0,404312.54428548,404312.54428548,0.0,12.888623653090296,521103.2221518955,1123988.8731136343,1645092.0952655298,3860.0
511,391398.193416244,0.0,391398.193416244,391398.193416244,0.0,18.840323508500433,737406.8584604661,1088086.9776971582,1825493.8361576244,3462.0
382,391398.193416244,0.0,391398.193416244,391398.193416244,0.0,18.164165329983522,710942.1495069525,1088086.9776971582,1799029.1272041108,3690.0
437,382965.05648705,0.0,382965.05648705,382965.05648705,0.0,7.972885604963017,305333.658606945,1064642.857033999,1369976.515640944,3781.0
419,382965.05648705,0.0,382965.05648705,382965.05648705,0.0,7.49363907551532,286980.191184829,1064642.857033999,1351623.048218828,4165.0
336,382965.05648705,0.0,382965.05648705,382965.05648705,0.0,7.774976133107123,297754.4174000835,1064642.857033999,1362397.2744340824,3327.0
328,382965.05648705,0.0,382965.05648705,382965.05648705,0.0,7.897990997660304,302465.4568553191,1064642.857033999,1367108.3138893181,3781.0
220,1088923.23144796,740544.7087504902,348378.5226974698,348378.5226974698,0.0,13.386327414972968,466350.89691729227,968492.293098966,1434843.1900162585,4524.0
191,346123.541401487,0.0,346123.541401487,346123.541401487,0.0,8.041698839697501,278342.12812803284,962223.4450961339,1240565.5732241666,3733.0
341,343236.2703133267,0.0,343236.2703133267,343236.2703133267,0.0,5.521704520872759,189524.92655166003,954196.8314710481,1143721.7580227081,3836.0
