nta2020,ntaname,geoid,geometry,Supply Gap (lbs.),Food Insecure Percentage,Unemployment Rate,Vulnerable Population Score,Weighted Score,Rank,pantry_count,TotalPop,Food Insecure Population
BX0603,Belmont,36005039100,POINT (1015494.0854427896 251747.0190530672),369930.98008093,30.58,1361.64%,0.57,6.40388300841,68.0,2,33577.0,10267.846599999999
BX0701,University Heights (North)-Fordham,36005025300,POINT (1010595.8312862337 254279.12041253687),538924.72967146,27.95,1607.34%,0.62,6.8491279006,42.0,2,43095.0,12045.052499999998
BX0702,Bedford Park,36005040302,POINT (1014452.8273692993 257559.02331812744),685490.71897698,25.64,1355.23%,0.61,6.72406102426,50.0,1,53842.0,13805.088800000001
BX0703,Norwood,36005041900,POINT (1017706.5548121486 258866.90204234343),330347.81439255,24.68,912.92%,0.59,6.00279582663,107.0,3,31900.0,7872.92
BX0801,Kingsbridge Heights-Van Cortlandt Village,36005026701,POINT (1012157.9197068547 259056.3253977388),1444845.00693503,22.53,1039.67%,0.59,7.63937179217,14.0,1,35271.0,7946.5563
BX0802,Kingsbridge-Marble Hill,36005028700,POINT (1010318.34045087 260205.50962465597),1149186.17394613,24.96,805.29%,0.55,7.10316863077,33.0,0,23608.0,5892.5568
BX0803,Riverdale-Spuyten Duyvil,36005030100,POINT (1009467.5835394077 265624.72078085353),1208992.72111143,12.22,553.17%,0.58,6.7181930024,51.0,1,44748.0,5468.2056
BX0901,Soundview-Bruckner-Bronx River,36005004400,POINT (1019335.8340814539 241553.6493665872),2780543.96088838,24.61,937.80%,0.62,8.780491261,2.0,4,71213.0,17525.5193
BX0902,Soundview-Clason Point,36005001600,POINT (1023249.8894874345 236637.90193842276),600555.36026617,24.24,1308.76%,0.52,6.74912936841,47.0,3,27379.0,6636.669599999999
BX0903,Castle Hill-Unionport,36005004001,POINT (1026126.6419939987 239712.5283780634),347937.7932147,21.53,875.87%,0.55,6.05232799733,99.0,3,37696.0,8115.948800000001
BX0904,Parkchester,36005021002,POINT (1023545.590265535 244522.8016113225),1083638.59857437,21.21,1080.84%,0.55,7.0713162223,34.0,4,30584.0,6486.8664
BX1001,Westchester Square,36005020200,POINT (1026879.7620431174 244506.3585735429),-89959.744097822,21.31,670.60%,0.57,5.33884183574,155.0,1,15371.0,3275.5600999999997
BX1002,Throgs Neck-Schuylerville,36005013000,POINT (1033900.0380648838 240089.73486935353),1379134.20466646,16.59,746.25%,0.47,6.98213524405,37.0,1,48326.0,8017.283399999999
BX1003,Pelham Bay-Country Club-City Island,36005026601,POINT (1036392.6922589268 247405.50757931478),1022815.339499,17.73,820.67%,0.54,6.8081756539,45.0,0,23059.0,4088.3607
BX1004,Co-op City,36005046204,POINT (1032296.6909824453 257132.24279368247),779628.418676589,13.86,647.90%,0.52,6.303762079,77.0,2,0.0,0.0
