from_pantry,to_pantry,lbs,distance_miles
326,0,47160.31288767804,0.719911707652285
326,405,175141.73906037392,0.9031624516264903
329,439,222302.05194805196,6.453458981639522
330,24,222302.05194805196,4.392576207426338
331,21,179300.9704062487,5.596572228509493
331,25,43001.08154180326,2.6864994386553533
333,25,77933.13682347146,2.4801912445701424
333,191,144368.9151245805,1.7747603132550036
334,25,222302.05194805196,2.2562888272277943
335,20,179130.69784547988,6.756020759142117
335,439,43171.35410257208,7.440256056859826
339,465,222302.05194805196,2.2943205965836486
340,341,222302.05194805196,3.1649474808142966
342,366,222302.05194805196,4.391578745291129
343,24,222302.05194805196,4.3617675949402965
344,332,149658.63473128885,6.627225661754579
344,365,33232.267933061376,5.929477488732248
344,369,39411.14928370173,5.281750128899443
346,20,4166.356791344122,4.103412900089607
346,21,218135.69515670784,4.166366126238289
348,514,222302.05194805196,4.427950355562479
349,22,81025.57646199832,4.504137898448434
349,201,62389.10461623962,5.01010270174903
349,373,39443.685434907,0.5000339819160464
349,497,39443.685434907,0.7200319382888226
350,295,222302.05194805196,5.265610926366944
351,502,222302.05194805196,3.6870743701797566
353,5,81025.57646199832,4.717708640889413
353,201,18636.4718457587,4.8557994340903745
353,225,81025.57646199832,4.7061626366163205
353,369,41614.427178296595,5.027172079073128
354,345,222302.05194805196,5.152498521615205
356,27,20547.425671145436,3.130040319371562
356,191,201754.62627690652,3.1740306885295846
357,27,197451.94326022582,2.700873357378935
357,332,24850.10868782614,5.670538996151473
358,192,222302.05194805196,2.9219312525231724
359,439,222302.05194805196,7.0738877365947745
360,17,112634.94914898,0.2747034032934924
360,18,109667.10279907196,0.14309288280063714
361,345,203867.49520392442,6.28876872080605
361,465,18434.556744127534,3.190620408246311
362,498,222302.05194805196,0.6358009151459472
363,24,222302.05194805196,5.068401938146867
364,27,115770.05529900588,2.4739292543991707
364,371,53265.99832452304,1.3245199184916174
364,421,53265.99832452304,2.3569912627910075
367,208,137784.0251362875,0.17681111905566074
367,421,84518.02681176446,1.8307397298434422
370,295,222302.05194805196,4.39592476892135
372,295,98746.12520372958,5.4981811039654795
372,341,120934.21836527472,3.5495186171087854
372,345,2621.708379047661,3.579878752677662
375,27,222302.05194805196,2.4476899869925246
376,345,222302.05194805196,4.673928158535253
377,410,222302.05194805196,1.0559418724571024
378,347,81025.57646199832,5.014319669983628
378,365,141276.47548605362,5.30418076702289
379,24,82050.52622038368,5.1009369004452525
379,426,140251.52572766828,8.99975835824656
383,49,76085.22601883695,2.350842270630104
383,385,73108.4129646075,0.8612337823087003
383,510,73108.4129646075,0.5107074106505207
387,382,222302.05194805196,0.7509379096074252
388,413,88786.91432007978,2.3815778098844103
388,434,133515.13762797217,2.245699955830767
390,381,222302.05194805196,1.6273514103826623
393,100,99500.51282840333,1.427585682254721
393,220,122801.53911964863,3.371343059163645
394,154,222302.05194805196,3.3277235317346157
395,26,222302.05194805196,2.2343548947659038
397,142,222302.05194805196,1.939085139107583
398,337,222302.05194805196,1.7687895399389382
399,265,222302.05194805196,2.8933325142449844
401,58,68351.95939857858,0.602256822614102
401,157,36623.04513886414,1.0965062231516305
401,433,68351.95939857858,1.0132767370488962
401,459,48975.08801203068,1.110324139387344
402,154,222302.05194805196,3.1646975526443293
404,154,222302.05194805196,3.5499467578399413
406,26,199622.03238549095,2.6881234193000996
406,336,22680.019562561007,2.7740121496097765
409,220,13916.774124508374,3.140447997843859
409,417,59804.828708053334,1.9658962393532406
409,513,148580.44911549025,3.599608626035914
