pantry_id,lbs_supplied,distance_miles,transport_cost,purchase_cost,total_cost,population
251,253139.6785299975,5.337058760542691,135102.13389394837,139226.82319149864,274328.95708544704,10840.0
15,253139.6785299975,5.345758632042523,135322.36216142034,139226.82319149864,274549.185352919,10840.0
255,253139.6785299975,5.268729251789145,133372.44290594984,139226.82319149864,272599.26609744853,10840.0
274,253139.6785299975,5.044308168282015,127691.454812515,139226.82319149864,266918.2780040136,9064.0
200,241259.80401663668,7.944819062271562,191676.54899112764,132692.8922091502,324369.4412002778,5531.0
114,230609.9498347875,3.0652825997890694,70688.46665668044,126835.47240913313,197523.93906581355,6534.0
451,230609.9498347875,3.0914388834283266,71291.65658247178,126835.47240913313,198127.12899160493,6534.0
478,230609.9498347875,2.705202189751163,62384.654127147296,126835.47240913313,189220.12653628044,5568.0
173,207719.46384193332,3.5601498617456615,73951.24204787418,114245.70511306333,188196.94716093753,8282.0
438,201993.72988660168,8.068416979552689,162976.96399802365,111096.55143763093,274073.51543565455,6115.0
324,201993.72988660168,8.068416950330358,162976.96340775088,111096.55143763093,274073.5148453818,6115.0
286,201993.72988660168,8.144822876807556,164520.31521520796,111096.55143763093,275616.8666528389,5599.0
429,200185.12008872334,1.2522331358634347,25067.844068190032,110101.81604879785,135169.66011698786,5915.0
426,200185.12008872334,1.3511525109263567,27048.06276579728,110101.81604879785,137149.87881459514,5915.0
108,200185.12008872334,0.9974727376318058,19967.919976805068,110101.81604879785,130069.73602560292,5403.0
162,184965.490040465,2.695946105007572,49865.699243540854,101731.01952225575,151596.7187657966,6808.0
396,174988.537078983,4.298067872103749,75211.26092056125,96243.69539344066,171454.9563140019,7306.0
447,174988.537078983,4.362812843539885,76344.22370404424,96243.69539344066,172587.9190974849,7306.0
247,167997.3598455194,2.8843340156666626,48456.049954462425,92398.54791503567,140854.5978694981,8015.0
448,167997.3598455194,2.9275938933409136,49182.80447811385,92398.54791503567,141581.35239314954,8015.0
501,167997.3598455194,2.8684451087833454,48189.120513739574,92398.54791503567,140587.66842877524,8304.0
389,166579.92222104908,3.06053202038211,50982.31859102821,91618.957221577,142601.2758126052,9259.0
9,166579.92222104908,3.515743739252894,58565.23186338874,91618.957221577,150184.18908496574,7962.0
320,166579.92222104908,3.2548018587534466,54218.464047607515,91618.957221577,145837.4212691845,9259.0
133,166579.92222104908,3.1485183433737203,52447.99407507407,91618.957221577,144066.95129665107,7004.0
125,166579.92222104908,3.181916196978566,53004.33526065859,91618.957221577,144623.2924822356,5320.0
284,166579.92222104908,3.473689868477146,57864.698811096925,91618.957221577,149483.65603267393,7962.0
281,166579.92222104908,3.2889052941740387,54786.558809590795,91618.957221577,146405.5160311678,5814.0
316,148033.499163,8.377843805456774,124020.15339628301,81418.42453965,205438.57793593302,6861.0
325,148033.499163,8.696546963853567,128738.02776946072,81418.42453965,210156.45230911075,8326.0
