from_pantry,to_pantry,lbs,distance_miles
155,158,31130.629146243205,1.4540730557151764
155,218,52614.11131259375,0.5501046314472047
156,152,285430.9030031125,3.2653291609327635
159,77,77723.01978534754,3.980002704248936
159,265,31753.278639210243,4.307038857084102
161,447,22782.292223842,0.2986760212642197
163,246,202759.6092806265,1.6991838918922377
167,509,169133.42092293286,1.7247397954371095
175,162,37884.271552896666,0.6406050425416484
176,114,132865.81811095998,2.1228141265721017
177,309,169133.42092293286,2.6748436379766822
178,447,22782.292223842,0.2902834655647911
182,447,22782.292223842,1.4893459742224986
184,127,521614.8374861866,2.280711773103167
184,309,3099.396517983463,2.172649525480783
187,405,524714.23400417,1.8548213668441709
188,162,71645.72363246497,1.462192777644068
188,246,4576.839874541007,1.1983068520860751
188,396,34941.65271696402,3.3727306896858984
190,191,260727.29459166073,1.5402131321099828
190,419,105203.6331212807,5.841145091574912
194,10,94444.09311104071,4.749331636109674
194,132,199613.282696009,5.051859613563332
194,233,262854.11175174225,5.10485508358507
194,250,104353.06670782808,3.1022075240479614
194,275,65937.44076322875,2.9667514967532242
194,284,90979.27341034618,3.808261260169878
195,130,297282.5635980601,5.539515894905279
195,389,61081.41334262907,4.423344095403396
195,509,459817.2914995057,5.600925356604492
196,130,593751.8897590032,5.138664221146553
196,233,57849.45646014274,4.896705505425787
196,320,166579.92222104908,4.118542415431398
197,389,35166.16962614,5.048907862176997
198,389,35166.16962614,5.617461186361448
202,192,227373.568347155,3.384337727165748
203,502,227373.568347155,4.220948967931561
205,131,31978.7119187629,7.319868751039274
205,142,633057.1792587268,6.320845535453
205,316,111295.84182740693,7.493213207127892
206,223,307548.737685778,7.9671003470344575
206,234,285730.857931088,7.748341043355606
206,473,183052.13738803053,7.975559879530262
209,27,82588.01947139666,2.250296881516047
210,160,87380.49590522428,5.240961683018723
210,271,28727.012239020944,4.992918504320066
210,509,65460.49521215979,7.136864350578511
211,389,35166.16962614,5.682592539323313
212,35,208479.98746574286,3.214477002168977
212,299,82774.93069564342,2.5750281037077434
215,220,291254.9181613863,3.7236892658473217
229,252,8073.941421282019,7.456746424245552
230,509,169133.42092293286,1.4219683651120687
231,247,22681.858834217215,1.6484413151015287
231,501,133949.81842453938,1.4924922978463528
231,509,12501.743664176262,2.1278440022976333
